id;mac_address;ip_address;employee_abbreviation;description
1;Agent Associate Frozen;pixel Director;Borders plum;SDR Internal
2;deposit Beauty;Florida Czech Movies;Assimilated bypass;digital Sausages Frozen
3;Incredible;Fresh Towels;teal cyan;RAM
4;payment Paradigm compressing;Future;Orchestrator;Peso Executive
5;transmit Azerbaijan mobile;Junction sensor;Outdoors IB;Shoes white d'Ivoire
6;Cambridgeshire;Mozambique;Ergonomic;Massachusetts Mission District
7;Practical cohesive Table;Plastic BEAC;local Buckinghamshire Cambridgeshire;Pound
8;Dynamic;Quality-focused;payment Ball;Arizona
9;microchip Avon Licensed;Steel Personal Maine;Borders Down-sized;cross-platform Customer-focused Personal
10;Hat Union Security;attitude bypass;Cape Frozen mobile;alarm architect Concrete
